ticker,moneydj_url,official_url,moneydj_status,official_status,risk_rank,risk_method,risk_evidence
00968B,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00968B.TW,https://www.yuantaetfs.com/product/detail/00968B/Basic_information,ok,ok,RR2,official_nearest_ticker,RR2; RR2; RR2; RR2; RR2
00969B,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00969B.TW,https://www.yuantaetfs.com/product/detail/00969B/Basic_information,ok,ok,RR3,official_nearest_ticker,RR3; RR3; RR3; RR3; RR3
00970B,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00970B.TW,https://www.tsit.com.tw/ETF/Home/ETFSeriesDetail/00970B,ok,ok,RR2,official_nearest_ticker,RR2; RR2; RR2; RR2; RR2
00971,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00971.TW,https://www.nomurafunds.com.tw/ETFWEB/product-description?fundNo=00971,ok,ok,RR4,equity_broad_rule,
00972,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00972.TW,https://www.nomurafunds.com.tw/ETFWEB/product-description?fundNo=00972,ok,ok,RR4,equity_broad_rule,
009800,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009800.TW,https://www.ctbcinvestments.com.tw/Etf/00568922/Info,ok,ok,RR4,equity_broad_rule,
009801,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009801.TW,https://www.ctbcinvestments.com.tw/Etf/00568937/Info,ok,ok,RR5,equity_concentration_rule,
009802,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009802.TW,https://websys.fsit.com.tw/FubonETF/Fund/Profile.aspx?stkId=009802,ok,ok,RR4,official_nearest_ticker,RR4
009803,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009803.TW,https://www.esunam.com/ETF/etf-info/50?tab=1,ok,ok,RR4,equity_broad_rule,
009804,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009804.TW,https://www.usitc.com.tw/CustCenter/BuyBackList,ok,ok,RR4,equity_broad_rule,RR1; RR5
009805,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009805.TW,https://www.tsit.com.tw/ETF/Home/ETFSeriesDetail/009805,ok,ok,RR3,official_nearest_ticker,RR3; RR3; RR3; RR3; RR3
009806,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009806.TW,https://www.tsit.com.tw/ETF/Home/ETFSeriesDetail/009806,ok,ok,RR4,official_nearest_ticker,RR4; RR4; RR4; RR4; RR4
009807,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009807.TW,https://www.tsit.com.tw/ETF/Home/ETFSeriesDetail/009807,ok,ok,RR4,official_nearest_ticker,RR4; RR4; RR4; RR4; RR4
009808,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009808.TW,https://www.hnfunds.com.tw/etf/overview/009808,ok,ok,RR4,equity_broad_rule,
009809,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009809.TW,https://websys.fsit.com.tw/FubonETF/Fund/Profile.aspx?stkId=009809,ok,ok,RR4,official_nearest_ticker,RR4
00980A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00980A.TW,https://www.nomurafunds.com.tw/ETFWEB/product-description?fundNo=00980A,ok,ok,RR4,equity_broad_rule,
00980B,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00980B.TW,https://www.tsit.com.tw/ETF/Home/ETFSeriesDetail/00980B,ok,ok,RR2,official_nearest_ticker,RR2; RR2; RR2; RR2; RR2
00980D,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00980D.TW,https://www.abfunds.com.tw/zh-tw/funds/etf/active/fixed-income/abitl-ig-corp-income-active-etf.-.TW00000980D8.html,ok,ok,RR2,official_nearest_ticker,RR2; RR2; RR2; RR2; RR1
00980T,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00980T.TW,https://www.kgifund.com.tw/Fund/Detail?fundID=J021,ok,ok,RR4,official_nearest_ticker,RR4; RR4; RR4
009810,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009810.TW,https://www.esunam.com/ETF/etf-info/51?tab=1,ok,ok,RR4,equity_broad_rule,
009811,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009811.TW,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=50YTW,ok,ok,RR4,official_nearest_ticker,RR4; RR4
009812,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009812.TW,https://www.nomurafunds.com.tw/ETFWEB/product-description?fundNo=009812&tab=basic,ok,ok,RR4,equity_broad_rule,
009813,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009813.TW,https://www.blackrock.com/tw/products/345655/,ok,ok,RR4,equity_broad_rule,
009814,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009814.TW,https://websys.fsit.com.tw/FubonETF/Fund/Profile.aspx?stkId=009814,ok,ok,RR4,official_nearest_ticker,RR4
009815,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009815.TW,https://www.uobam.com.tw/fund/etf/00648622,ok,ok,RR5,official_nearest_ticker,RR5; RR5; RR5
009816,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009816.TW,https://www.kgifund.com.tw/Fund/Detail?fundID=J023,ok,ok,RR4,official_nearest_ticker,RR4; RR4; RR4
009817,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009817.TW,https://www.cathaysite.com.tw/ETF/detail/EE9,ok,ok,RR4,equity_broad_rule,
009818,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009818.TW,https://www.hnfunds.com.tw/etf/overview/009818,ok,ok,RR4,equity_broad_rule,
009819,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009819.TW,https://www.ctbcinvestments.com.tw/Etf/00669317/Info,ok,ok,RR4,equity_broad_rule,
00981A,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00981A.TW,https://www.ezmoney.com.tw/ETF/Fund/Info?fundCode=49YTW,ok,ok,RR4,official_nearest_ticker,RR4; RR4; RR4; RR4; RR4
00981B,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00981B.TW,https://www.fsitc.com.tw/FundDetail.aspx?ID=177#TabLinkdivEditTab9,ok,error,RR3,bond_risk_rule,
00981D,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00981D.TW,https://www.ctbcinvestments.com.tw/Etf/00606159/Info,ok,ok,RR3,bond_risk_rule,
00981T,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=00981T.TW,https://www.kgifund.com.tw/Fund/Detail?fundID=J022,ok,ok,RR3,official_nearest_ticker,RR3; RR3; RR3
009820,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009820.TW,https://www.yuantaetfs.com/product/detail/009820/Basic_information,ok,ok,RR4,official_nearest_ticker,RR4; RR4; RR4; RR4; RR4
009821,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009821.TW,https://www.nomurafunds.com.tw/ETFWEB/product-description?fundNo=009821&tab=basic,ok,ok,RR4,equity_broad_rule,
009822,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009822.TW,https://www.hnfunds.com.tw/etf/overview/009822,ok,ok,RR4,equity_broad_rule,
009823,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009823.TW,https://www.capitalfund.com.tw/etf/product/detail/501,ok,ok,RR4,explicit_override,
009824,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009824.TW,https://www.capitalfund.com.tw/etf/product/detail/503,ok,ok,RR4,explicit_override,
009825,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009825.TW,https://www.usitc.com.tw/CustCenter/BuyBackList,ok,ok,RR5,explicit_override,RR1; RR5
009826,https://www.moneydj.com/ETF/X/Basic/Basic0004.xdjhtm?etfid=009826.TW,https://www.blackrock.com/tw/products/351824/blackrock-ishares-global-all-cap-etf,ok,ok,RR4,explicit_override,
